,created_at,favorite_count,id,retweet_count,text,user
0,2015-04-25 21:12:46,0,592073789829165056,74,RT @JustineGreening: A team of British humanitarian experts now on their way to #Nepal to help in earthquake response @DFID_UK,@RobertBuckland
1,2015-04-25 17:34:45,0,592018924637663233,6,RT @owenlmeredith: Great day supporting the fantastic @RobertBuckland. Lots of positive comments about his hard work for Swindon.  https://…,@RobertBuckland
2,2015-04-25 17:34:21,0,592018822065946624,6,RT @ToryReformGroup: The TRG Battle Bus team out in force today in #Swindon for @RobertBuckland http://t.co/2eIwMgowBW,@RobertBuckland
3,2015-04-25 11:52:45,0,591932855879651328,2,"RT @TorySwindon: We're hoping that @LabSouthSwindon, @SwindonLibDems @SwindonGreens &amp; Swindon @UKIP will join us in condemning comments lik…",@RobertBuckland
4,2015-04-25 11:52:43,0,591932847243538432,8,"RT @TorySwindon: We'll leave others to be nasty, negative &amp; vicious. We'll continue building a better future for #Swindon &amp; #Britain  https…",@RobertBuckland
5,2015-04-25 11:51:46,0,591932611431391232,6,RT @timothy_barnes: Great group out for @RobertBuckland in #Swindon with @ToryReformGroup @NeilLindsay @owenlmeredith @PlatformTen http://t…,@RobertBuckland
6,2015-04-25 08:07:37,0,591876199825154048,6,RT @TorySwindon: Businesses in South West have grown for the 24th consecutive month; with #Swindon leading the way in startups. @JTomlinson…,@RobertBuckland
7,2015-04-24 20:58:53,0,591707909400174593,1,@Swindon105_5 7th Anniversary Party-packed event and some great musical talent #swindonspirit,@RobertBuckland
8,2015-04-24 14:41:26,0,591612921119117312,0,@stevetittensor of course have followed and dm'd,@RobertBuckland
9,2015-04-24 07:47:45,0,591508813854814208,2,RT @swindonlink: Crime in Wiltshire drops by 2.5 per cent compared with 2 per cent increase across England &amp; Wales http://t.co/dZK6MNAdHK,@RobertBuckland
10,2015-04-24 07:47:29,2,591508747752574976,1,"“@MarkLeverNAS: Thanks to all candidates for taking part in @autism hustings in South Swindon, powerful human stories"" thanks Mark",@RobertBuckland
11,2015-04-23 20:50:00,0,591343287354707968,203,RT @Conservatives: RETWEET to show why you're backing the @Conservatives. http://t.co/NTrBoCFcBc,@RobertBuckland
12,2015-04-23 20:49:24,0,591343133562134528,1,RT @Mr_D_Nicholson: @RobertBuckland @Autism looks like a great attendance for the hustings! Fab to see,@RobertBuckland
13,2015-04-23 19:50:31,7,591328316763680768,5,@Autism #Southswindon hustings #GE15 #Imone http://t.co/2l4kMwMtrN,@RobertBuckland
